time,gFx,gFy,gFz,TgF
15:57:15:917,0.7768,-0.0678,-0.1124,0.788
15:57:15:922,0.7920,-0.0729,-0.1102,0.803
15:57:15:929,0.8162,-0.0763,-0.1149,0.828
15:57:15:932,0.8279,-0.0807,-0.1420,0.844
15:57:15:938,0.8472,-0.0841,-0.1677,0.868
15:57:15:944,0.8773,-0.0969,-0.1689,0.899
15:57:15:949,0.8529,-0.0810,-0.1689,0.873
15:57:15:953,0.8243,-0.0489,-0.1371,0.837
15:57:15:958,0.8343,-0.0401,-0.0855,0.840
15:57:15:963,0.8768,-0.0582,-0.0327,0.879
15:57:15:968,0.9355,-0.0470,-0.0031,0.937
15:57:15:974,1.0100,-0.0335,0.0071,1.011
15:57:15:980,1.0066,-0.0384,-0.0256,1.008
15:57:15:982,1.0037,-0.0333,-0.0880,1.008
15:57:15:988,1.0514,-0.0472,-0.1420,1.062
15:57:15:993,1.0660,-0.0714,-0.1975,1.087
15:57:15:998,1.0873,-0.0753,-0.2239,1.113
15:57:16:005,1.1418,-0.0736,-0.2070,1.163
15:57:16:008,1.2503,-0.0815,-0.1400,1.261
15:57:16:013,1.3021,-0.0692,-0.0713,1.306
15:57:16:018,1.2476,-0.0467,-0.0591,1.250
15:57:16:024,1.2288,-0.0382,-0.0567,1.231
15:57:16:028,1.2295,-0.0355,-0.0391,1.231
15:57:16:033,1.1985,-0.0482,-0.0423,1.200
15:57:16:038,1.1613,-0.0626,-0.0635,1.165
15:57:16:043,1.1462,-0.0592,-0.0843,1.151
15:57:16:049,1.1689,-0.0433,-0.0775,1.172
15:57:16:053,1.1489,-0.0333,-0.0914,1.153
15:57:16:059,1.1132,-0.0118,-0.1009,1.118
15:57:16:065,1.1076,0.0082,-0.0931,1.112
15:57:16:069,1.1247,0.0205,-0.0777,1.128
15:57:16:073,1.1464,0.0327,-0.0662,1.149
15:57:16:078,1.1728,0.0410,-0.0501,1.175
15:57:16:083,1.1855,0.0442,-0.0291,1.187
15:57:16:090,1.1899,0.0471,-0.0205,1.191
15:57:16:093,1.1723,0.0586,-0.0371,1.174
15:57:16:098,1.1264,0.0818,-0.0694,1.131
15:57:16:106,1.0660,0.1080,-0.1276,1.079
15:57:16:110,1.0113,0.1302,-0.1650,1.033
15:57:16:113,0.9883,0.1231,-0.1628,1.009
15:57:16:118,0.9726,0.0970,-0.1364,0.987
15:57:16:123,0.9888,0.0879,-0.0894,0.997
15:57:16:129,1.0210,0.0840,-0.0904,1.028
15:57:16:134,1.0411,0.0752,-0.1202,1.051
15:57:16:138,1.0751,0.0542,-0.1615,1.088
15:57:16:144,1.1188,0.0210,-0.2043,1.138
15:57:16:151,1.1411,-0.0040,-0.2187,1.162
15:57:16:158,1.1525,-0.0186,-0.2141,1.172
15:57:16:159,1.1420,-0.0118,-0.2417,1.167
15:57:16:165,1.1261,0.0031,-0.3055,1.167
15:57:16:170,1.0633,-0.0091,-0.3278,1.113
15:57:16:174,0.9822,-0.0365,-0.2544,1.015
15:57:16:179,0.9208,-0.0436,-0.1765,0.939
