time,gFx,gFy,gFz,TgF
16:49:51:016,0.8130,0.0295,0.4945,0.952
16:49:51:021,0.7937,0.0613,0.5199,0.951
16:49:51:026,0.7832,0.0764,0.5177,0.942
16:49:51:031,0.7766,0.0728,0.4953,0.924
16:49:51:047,0.6869,0.1522,0.4913,0.858
16:49:51:049,0.6627,0.1424,0.5295,0.860
16:49:51:050,0.7299,0.0469,0.5994,0.946
16:49:51:069,0.7605,-0.0071,0.6781,1.019
16:49:51:071,0.7517,-0.0027,0.7285,1.047
16:49:51:072,0.7527,0.0219,0.7439,1.058
16:49:51:072,0.7583,0.0219,0.7194,1.045
16:49:51:073,0.7429,0.0373,0.7126,1.030
16:49:51:076,0.7170,0.0532,0.7135,1.013
16:49:51:081,0.7160,0.0566,0.6686,0.981
16:49:51:087,0.7373,0.0452,0.6013,0.952
16:49:51:091,0.7057,0.0782,0.6043,0.932
16:49:51:097,0.6629,0.1006,0.5622,0.875
16:49:51:101,0.6610,0.0395,0.5571,0.865
16:49:51:106,0.7104,0.0034,0.6199,0.943
16:49:51:111,0.7773,-0.0003,0.6695,1.026
16:49:51:117,0.8050,0.0092,0.7055,1.070
16:49:51:122,0.7874,0.0141,0.6928,1.049
16:49:51:127,0.7705,0.0334,0.6446,1.005
16:49:51:131,0.7695,0.0486,0.6275,0.994
16:49:51:147,0.7593,0.0552,0.6409,0.995
16:49:51:149,0.7553,0.0586,0.6226,0.981
16:49:51:150,0.7333,0.0711,0.6625,0.991
16:49:51:152,0.6957,0.0870,0.7285,1.011
16:49:51:166,0.6691,0.0892,0.7143,0.983
16:49:51:168,0.6145,0.0535,0.7343,0.959
16:49:51:169,0.6006,0.0437,0.7431,0.956
16:49:51:173,0.6375,0.0659,0.7204,0.964
16:49:51:177,0.6664,0.0799,0.7140,0.980
16:49:51:181,0.6911,0.0938,0.7067,0.993
16:49:51:187,0.6876,0.0936,0.6671,0.963
16:49:51:191,0.6991,0.0911,0.6664,0.970
16:49:51:197,0.7216,0.0940,0.6439,0.972
16:49:51:201,0.7201,0.0789,0.6397,0.966
16:49:51:207,0.7118,0.0755,0.6370,0.958
16:49:51:212,0.7126,0.0833,0.6732,0.984
16:49:51:217,0.6889,0.1028,0.7253,1.006
16:49:51:222,0.6527,0.1046,0.7094,0.970
16:49:51:227,0.6451,0.0967,0.6710,0.936
16:49:51:231,0.6429,0.0997,0.6730,0.936
16:49:51:247,0.6317,0.1014,0.7170,0.961
16:49:51:250,0.6077,0.1046,0.7421,0.965
16:49:51:251,0.5901,0.1109,0.7522,0.962
16:49:51:268,0.6045,0.1288,0.7900,1.003
16:49:51:270,0.6356,0.1505,0.7712,1.011
16:49:51:270,0.6192,0.1283,0.7737,0.999
16:49:51:271,0.6023,0.0982,0.8001,1.006
16:49:51:273,0.5950,0.0928,0.8108,1.010
16:49:51:277,0.5945,0.0772,0.8416,1.033
16:49:51:282,0.6131,0.0713,0.8201,1.026
16:49:51:287,0.6383,0.0703,0.7766,1.008
16:49:51:291,0.6353,0.0569,0.7536,0.987
16:49:51:297,0.6075,0.0412,0.7453,0.962
16:49:51:302,0.5625,0.0378,0.7431,0.933
16:49:51:307,0.5202,0.0300,0.7573,0.919
16:49:51:312,0.4899,0.0197,0.7656,0.909
16:49:51:317,0.4603,0.0146,0.8155,0.937
16:49:51:322,0.4459,0.0043,0.7844,0.902
16:49:51:327,0.4498,0.0004,0.7629,0.886
