time,gFx,gFy,gFz,TgF
15:42:42:626,0.9374,0.0376,0.2692,0.976
15:42:42:631,0.9335,0.0334,0.2767,0.974
15:42:42:636,0.9294,0.0295,0.2860,0.973
15:42:42:642,0.9289,0.0298,0.2985,0.976
15:42:42:647,0.9306,0.0349,0.3144,0.983
15:42:42:651,0.9323,0.0376,0.3266,0.989
15:42:42:656,0.9338,0.0390,0.3391,0.994
15:42:42:661,0.9360,0.0412,0.3405,0.997
15:42:42:666,0.9357,0.0437,0.3410,0.997
15:42:42:671,0.9399,0.0442,0.3371,0.999
15:42:42:676,0.9494,0.0481,0.3579,1.016
15:42:42:681,0.9548,0.0520,0.3581,1.021
15:42:42:686,0.9477,0.0552,0.3611,1.016
15:42:42:693,0.9367,0.0515,0.3305,0.995
15:42:42:697,0.9282,0.0515,0.3078,0.979
15:42:42:702,0.9284,0.0491,0.2892,0.974
15:42:42:706,0.9348,0.0454,0.2780,0.976
15:42:42:711,0.9406,0.0422,0.2745,0.981
15:42:42:716,0.9436,0.0410,0.2782,0.985
15:42:42:723,0.9462,0.0410,0.2838,0.989
15:42:42:726,0.9477,0.0398,0.2890,0.992
15:42:42:731,0.9480,0.0398,0.2970,0.994
15:42:42:736,0.9467,0.0417,0.3053,0.996
15:42:42:742,0.9426,0.0439,0.3100,0.993
15:42:42:747,0.9389,0.0456,0.3110,0.990
15:42:42:751,0.9365,0.0488,0.3107,0.988
15:42:42:756,0.9333,0.0522,0.3129,0.986
15:42:42:763,0.9294,0.0549,0.3190,0.984
15:42:42:767,0.9257,0.0566,0.3290,0.984
15:42:42:772,0.9223,0.0569,0.3403,0.985
15:42:42:777,0.9196,0.0566,0.3484,0.985
15:42:42:783,0.9189,0.0562,0.3493,0.985
15:42:42:787,0.9228,0.0544,0.3440,0.986
15:42:42:793,0.9279,0.0522,0.3344,0.988
15:42:42:798,0.9330,0.0500,0.3246,0.989
15:42:42:803,0.9357,0.0491,0.3132,0.988
15:42:42:808,0.9377,0.0481,0.3029,0.987
15:42:42:812,0.9387,0.0466,0.2995,0.986
15:42:42:817,0.9379,0.0461,0.3041,0.987
15:42:42:824,0.9348,0.0474,0.3122,0.987
15:42:42:827,0.9326,0.0488,0.3188,0.987
15:42:42:832,0.9308,0.0498,0.3237,0.987
15:42:42:837,0.9304,0.0500,0.3288,0.988
15:42:42:843,0.9301,0.0493,0.3317,0.989
15:42:42:847,0.9316,0.0491,0.3310,0.990
15:42:42:852,0.9326,0.0498,0.3300,0.990
15:42:42:858,0.9335,0.0500,0.3295,0.991
15:42:42:863,0.9335,0.0498,0.3288,0.991
15:42:42:867,0.9355,0.0493,0.3286,0.993
15:42:42:874,0.9372,0.0478,0.3281,0.994
15:42:42:878,0.9374,0.0469,0.3278,0.994
15:42:42:883,0.9367,0.0466,0.3276,0.993
15:42:42:887,0.9350,0.0466,0.3278,0.992
15:42:42:893,0.9340,0.0459,0.3273,0.991
15:42:42:897,0.9326,0.0444,0.3264,0.989
15:42:42:903,0.9311,0.0454,0.3249,0.987
15:42:42:913,0.9304,0.0459,0.3249,0.987
15:42:42:914,0.9284,0.0464,0.3259,0.985
15:42:42:917,0.9274,0.0483,0.3290,0.985
15:42:42:939,0.9260,0.0500,0.3330,0.985
15:42:42:940,0.9262,0.0500,0.3393,0.988
15:42:42:941,0.9269,0.0491,0.3486,0.992
15:42:42:942,0.9269,0.0483,0.3562,0.994
15:42:42:943,0.9274,0.0491,0.3598,0.996
15:42:42:947,0.9282,0.0486,0.3550,0.995
15:42:42:952,0.9313,0.0478,0.3466,0.995
15:42:42:957,0.9333,0.0471,0.3440,0.996
15:42:42:963,0.9318,0.0510,0.3430,0.994
15:42:42:968,0.9286,0.0527,0.3396,0.990
15:42:42:976,0.9272,0.0525,0.3364,0.988
15:42:42:978,0.9282,0.0508,0.3344,0.988
15:42:42:983,0.9306,0.0503,0.3330,0.990
15:42:42:987,0.9323,0.0493,0.3342,0.992
15:42:42:998,0.9333,0.0498,0.3369,0.993
15:42:42:999,0.9335,0.0500,0.3410,0.995
15:42:43:003,0.9330,0.0503,0.3447,0.996
15:42:43:018,0.9323,0.0513,0.3447,0.995
15:42:43:019,0.9321,0.0508,0.3422,0.994
15:42:43:020,0.9328,0.0488,0.3398,0.994
15:42:43:024,0.9328,0.0471,0.3369,0.993
15:42:43:028,0.9313,0.0481,0.3327,0.990
15:42:43:033,0.9304,0.0483,0.3264,0.987
15:42:43:038,0.9313,0.0478,0.3210,0.986
15:42:43:044,0.9318,0.0466,0.3183,0.986
15:42:43:048,0.9308,0.0474,0.3158,0.984
15:42:43:053,0.9304,0.0469,0.3141,0.983
15:42:43:058,0.9340,0.0449,0.3161,0.987
15:42:43:063,0.9370,0.0430,0.3210,0.991
15:42:43:068,0.9374,0.0427,0.3266,0.994
15:42:43:073,0.9357,0.0447,0.3300,0.993
15:42:43:078,0.9335,0.0469,0.3278,0.991
15:42:43:083,0.9313,0.0500,0.3205,0.986
15:42:43:088,0.9291,0.0508,0.3139,0.982
15:42:43:094,0.9301,0.0488,0.3117,0.982
15:42:43:098,0.9328,0.0454,0.3158,0.986
15:42:43:103,0.9352,0.0432,0.3281,0.992
15:42:43:109,0.9345,0.0430,0.3447,0.997
15:42:43:113,0.9330,0.0420,0.3584,1.000
15:42:43:118,0.9333,0.0420,0.3682,1.004
15:42:43:124,0.9340,0.0412,0.3738,1.007
15:42:43:128,0.9335,0.0403,0.3726,1.006
15:42:43:133,0.9326,0.0386,0.3662,1.003
15:42:43:139,0.9318,0.0378,0.3589,0.999
15:42:43:144,0.9299,0.0381,0.3542,0.996
15:42:43:148,0.9274,0.0403,0.3520,0.993
15:42:43:154,0.9247,0.0405,0.3493,0.989
15:42:43:162,0.9260,0.0381,0.3481,0.990
15:42:43:164,0.9279,0.0361,0.3515,0.993
15:42:43:169,0.9294,0.0339,0.3542,0.995
15:42:43:174,0.9313,0.0344,0.3564,0.998
15:42:43:178,0.9323,0.0351,0.3594,1.000
15:42:43:186,0.9311,0.0356,0.3623,1.000
15:42:43:189,0.9282,0.0376,0.3647,0.998
15:42:43:195,0.9252,0.0410,0.3672,0.996
15:42:43:202,0.9250,0.0430,0.3716,0.998
15:42:43:204,0.9262,0.0425,0.3760,1.001
15:42:43:209,0.9272,0.0410,0.3774,1.002
15:42:43:214,0.9264,0.0400,0.3755,1.000
15:42:43:219,0.9252,0.0386,0.3657,0.996
15:42:43:224,0.9274,0.0339,0.3513,0.992
15:42:43:228,0.9335,0.0368,0.3447,0.996
15:42:43:234,0.9345,0.0371,0.3403,0.995
15:42:43:241,0.9348,0.0312,0.3376,0.994
15:42:43:244,0.9372,0.0339,0.3459,1.000
15:42:43:248,0.9348,0.0322,0.3562,1.001
15:42:43:254,0.9321,0.0373,0.3718,1.004
15:42:43:259,0.9286,0.0361,0.3801,1.004
15:42:43:264,0.9267,0.0395,0.3921,1.007
15:42:43:270,0.9211,0.0376,0.3950,1.003
15:42:43:274,0.9225,0.0403,0.4019,1.007
15:42:43:279,0.9223,0.0459,0.4048,1.008
15:42:43:284,0.9208,0.0481,0.3987,1.005
15:42:43:291,0.9196,0.0486,0.3875,0.999
15:42:43:295,0.9184,0.0471,0.3762,0.994
15:42:43:299,0.9194,0.0437,0.3699,0.992
15:42:43:305,0.9225,0.0415,0.3650,0.993
15:42:43:312,0.9255,0.0417,0.3603,0.994
15:42:43:317,0.9274,0.0439,0.3545,0.994
15:42:43:320,0.9269,0.0444,0.3479,0.991
15:42:43:327,0.9245,0.0449,0.3464,0.988
15:42:43:329,0.9203,0.0459,0.3454,0.984
15:42:43:334,0.9203,0.0415,0.3383,0.981
15:42:43:339,0.9247,0.0354,0.3310,0.983
15:42:43:344,0.9321,0.0298,0.3330,0.990
15:42:43:349,0.9414,0.0263,0.3413,1.002
15:42:43:354,0.9477,0.0239,0.3562,1.013
15:42:43:359,0.9467,0.0258,0.3772,1.019
15:42:43:364,0.9418,0.0268,0.3914,1.020
15:42:43:369,0.9247,0.0434,0.4068,1.011
15:42:43:374,0.9062,0.0610,0.4229,1.002
15:42:43:379,0.8969,0.0684,0.4320,0.998
15:42:43:384,0.8905,0.0645,0.4320,0.992
15:42:43:393,0.8822,0.0889,0.4327,0.987
15:42:43:395,0.8800,0.0980,0.4163,0.978
15:42:43:399,0.8854,0.0877,0.3963,0.974
15:42:43:406,0.8837,0.0899,0.3845,0.968
15:42:43:413,0.8844,0.0823,0.3770,0.965
15:42:43:415,0.8922,0.0735,0.3823,0.973
15:42:43:419,0.8873,0.0838,0.3906,0.973
15:42:43:425,0.8832,0.0923,0.3941,0.972
15:42:43:429,0.8866,0.0906,0.4009,0.977
15:42:43:434,0.8954,0.0801,0.4082,0.987
15:42:43:439,0.8947,0.0860,0.4158,0.990
15:42:43:445,0.8930,0.0936,0.4136,0.989
15:42:43:449,0.8949,0.0945,0.4056,0.987
15:42:43:455,0.8976,0.0921,0.3953,0.985
15:42:43:459,0.8974,0.0989,0.3816,0.980
15:42:43:465,0.9000,0.1002,0.3701,0.978
15:42:43:469,0.9032,0.0975,0.3691,0.981
15:42:43:475,0.9042,0.0960,0.3760,0.984
15:42:43:480,0.9027,0.0962,0.3855,0.986
15:42:43:485,0.8993,0.0970,0.3941,0.987
15:42:43:493,0.8976,0.0965,0.3992,0.987
15:42:43:495,0.8998,0.0933,0.4021,0.990
15:42:43:500,0.9020,0.0909,0.4026,0.992
15:42:43:506,0.9037,0.0879,0.3982,0.991
15:42:43:510,0.9059,0.0818,0.3938,0.991
15:42:43:515,0.9042,0.0782,0.3938,0.989
15:42:43:520,0.9000,0.0796,0.3931,0.985
15:42:43:525,0.8991,0.0799,0.3872,0.982
15:42:43:530,0.9018,0.0760,0.3777,0.981
15:42:43:536,0.9035,0.0735,0.3713,0.980
15:42:43:540,0.9049,0.0711,0.3677,0.979
15:42:43:545,0.9062,0.0674,0.3618,0.978
15:42:43:550,0.9096,0.0642,0.3611,0.981
15:42:43:556,0.9167,0.0606,0.3669,0.989
15:42:43:560,0.9240,0.0549,0.3718,0.998
15:42:43:566,0.9264,0.0552,0.3667,0.998
15:42:43:570,0.9252,0.0603,0.3613,0.995
15:42:43:576,0.9242,0.0620,0.3620,0.995
15:42:43:581,0.9240,0.0615,0.3667,0.996
15:42:43:587,0.9247,0.0588,0.3721,0.999
15:42:43:593,0.9279,0.0527,0.3804,1.004
15:42:43:598,0.9299,0.0500,0.3889,1.009
15:42:43:600,0.9294,0.0532,0.3938,1.011
15:42:43:607,0.9291,0.0554,0.3941,1.011
15:42:43:610,0.9269,0.0596,0.3892,1.007
15:42:43:615,0.9257,0.0640,0.3833,1.004
15:42:43:620,0.9250,0.0657,0.3779,1.001
15:42:43:626,0.9223,0.0647,0.3708,0.996
15:42:43:631,0.9218,0.0606,0.3635,0.993
15:42:43:635,0.9211,0.0564,0.3611,0.991
15:42:43:642,0.9172,0.0559,0.3579,0.986
15:42:43:646,0.9154,0.0576,0.3562,0.984
15:42:43:650,0.9147,0.0557,0.3596,0.984
15:42:43:655,0.9142,0.0530,0.3608,0.984
15:42:43:660,0.9103,0.0530,0.3574,0.979
15:42:43:666,0.9054,0.0618,0.3581,0.976
15:42:43:672,0.8988,0.0708,0.3510,0.968
15:42:43:677,0.8976,0.0740,0.3369,0.962
15:42:43:680,0.9013,0.0723,0.3300,0.963
15:42:43:687,0.9076,0.0708,0.3422,0.973
15:42:43:694,0.9159,0.0625,0.3554,0.984
15:42:43:697,0.9262,0.0554,0.3669,0.998
15:42:43:700,0.9338,0.0503,0.3765,1.008
15:42:43:707,0.9333,0.0493,0.3860,1.011
15:42:43:711,0.9294,0.0527,0.3960,1.012
15:42:43:716,0.9228,0.0559,0.3950,1.005
15:42:43:721,0.9186,0.0574,0.3884,0.999
15:42:43:727,0.9113,0.0593,0.3826,0.990
15:42:43:731,0.9027,0.0681,0.3892,0.985
15:42:43:736,0.8964,0.0706,0.3887,0.980
15:42:43:741,0.8971,0.0686,0.3816,0.977
15:42:43:746,0.9005,0.0669,0.3796,0.980
15:42:43:751,0.9037,0.0632,0.3755,0.981
15:42:43:756,0.9088,0.0601,0.3789,0.986
15:42:43:761,0.9154,0.0584,0.3882,0.996
15:42:43:766,0.9230,0.0552,0.3980,1.007
15:42:43:772,0.9162,0.0513,0.4063,1.004
15:42:43:778,0.9113,0.0552,0.4131,1.002
15:42:43:781,0.9123,0.0615,0.4114,1.003
15:42:43:787,0.9169,0.0640,0.4029,1.004
15:42:43:793,0.9230,0.0586,0.3933,1.005
15:42:43:798,0.9279,0.0537,0.3843,1.006
15:42:43:801,0.9321,0.0527,0.3867,1.010
15:42:43:807,0.9338,0.0508,0.3902,1.013
15:42:43:811,0.9323,0.0532,0.3872,1.011
15:42:43:816,0.9308,0.0576,0.3796,1.007
15:42:43:821,0.9306,0.0569,0.3745,1.005
15:42:43:827,0.9301,0.0522,0.3723,1.003
15:42:43:831,0.9245,0.0520,0.3696,0.997
15:42:43:836,0.9179,0.0554,0.3650,0.989
15:42:43:841,0.9128,0.0613,0.3642,0.985
15:42:43:847,0.9096,0.0640,0.3618,0.981
15:42:43:851,0.9081,0.0664,0.3660,0.981
15:42:43:856,0.9096,0.0691,0.3779,0.987
15:42:43:862,0.9108,0.0708,0.3870,0.992
15:42:43:867,0.9132,0.0701,0.3921,0.996
15:42:43:872,0.9162,0.0676,0.3902,0.998
15:42:43:877,0.9186,0.0654,0.3872,0.999
15:42:43:882,0.9174,0.0618,0.3850,0.997
15:42:43:887,0.9147,0.0588,0.3848,0.994
