time,gFx,gFy,gFz,TgF
15:38:06:384,0.9316,0.0378,0.0900,0.937
15:38:06:389,0.9411,0.0342,0.0932,0.946
15:38:06:394,0.9612,0.0405,0.1002,0.967
15:38:06:400,0.9824,0.0496,0.1127,0.990
15:38:06:405,0.9956,0.0537,0.1279,1.005
15:38:06:409,1.0025,0.0549,0.1401,1.014
15:38:06:415,1.0098,0.0549,0.1474,1.022
15:38:06:418,1.0030,0.0537,0.1484,1.015
15:38:06:425,1.0030,0.0481,0.1469,1.015
15:38:06:430,1.0120,0.0456,0.1386,1.022
15:38:06:435,1.0208,0.0461,0.1242,1.029
15:38:06:440,1.0259,0.0508,0.0924,1.031
15:38:06:447,1.0264,0.0598,0.0548,1.030
15:38:06:449,1.0303,0.0469,0.0668,1.034
15:38:06:454,1.0228,0.0359,0.0910,1.027
15:38:06:459,0.9988,0.0386,0.0958,1.004
15:38:06:465,0.9726,0.0430,0.0841,0.977
15:38:06:470,0.9565,0.0437,0.0680,0.960
15:38:06:477,0.9553,0.0422,0.0563,0.958
15:38:06:480,0.9646,0.0420,0.0467,0.967
15:38:06:485,0.9763,0.0417,0.0355,0.978
15:38:06:491,0.9800,0.0400,0.0235,0.981
15:38:06:496,0.9761,0.0378,0.0157,0.977
15:38:06:501,0.9668,0.0434,-0.0134,0.968
15:38:06:505,0.9626,0.0449,0.0125,0.964
15:38:06:510,0.9761,0.0324,0.0695,0.979
15:38:06:515,0.9788,0.0371,0.0594,0.981
15:38:06:519,0.9714,0.0515,0.0492,0.974
15:38:06:526,0.9783,0.0439,0.0863,0.983
15:38:06:529,0.9858,0.0442,0.0829,0.990
15:38:06:534,0.9898,0.0571,0.0790,0.995
15:38:06:540,0.9966,0.0459,0.1401,1.007
15:38:06:546,0.9924,0.0390,0.1667,1.007
15:38:06:550,0.9814,0.0520,0.1398,0.993
15:38:06:555,0.9858,0.0415,0.1658,1.001
15:38:06:559,0.9954,0.0268,0.1746,1.011
15:38:06:566,0.9873,0.0310,0.1376,0.997
15:38:06:570,0.9758,0.0366,0.0983,0.981
15:38:06:575,0.9707,0.0327,0.0726,0.974
15:38:06:581,0.9695,0.0254,0.0421,0.971
15:38:06:585,0.9648,0.0295,0.0003,0.965
15:38:06:591,0.9770,0.0139,0.0303,0.978
15:38:06:600,0.9841,-0.0037,0.0587,0.986
15:38:06:601,0.9680,0.0095,0.0250,0.968
15:38:06:605,0.9717,0.0153,0.0440,0.973
15:38:06:614,0.9753,-0.0037,0.0719,0.978
15:38:06:616,0.9577,0.0117,0.0475,0.959
15:38:06:621,0.9616,0.0170,0.0809,0.965
15:38:06:626,0.9731,0.0134,0.0919,0.978
15:38:06:630,0.9692,0.0268,0.0751,0.972
15:38:06:635,0.9866,0.0163,0.1000,0.992
15:38:06:639,0.9841,0.0246,0.0731,0.987
15:38:06:645,0.9836,0.0227,0.0844,0.988
15:38:06:650,0.9878,0.0185,0.0897,0.992
15:38:06:655,0.9878,0.0170,0.1230,0.996
15:38:06:661,0.9978,0.0146,0.1469,1.009
15:38:06:666,0.9929,0.0298,0.1411,1.003
15:38:06:670,0.9924,0.0290,0.1741,1.008
15:38:06:676,0.9873,0.0283,0.1948,1.007
15:38:06:681,0.9805,0.0359,0.1919,1.000
15:38:06:686,0.9753,0.0459,0.1841,0.994
15:38:06:690,0.9678,0.0515,0.1824,0.986
15:38:06:699,0.9656,0.0503,0.1829,0.984
15:38:06:700,0.9663,0.0481,0.1755,0.983
15:38:06:707,0.9697,0.0603,0.1430,0.982
15:38:06:712,0.9775,0.0508,0.1486,0.990
15:38:06:715,0.9844,0.0320,0.1648,0.999
15:38:06:720,0.9861,0.0354,0.1589,0.999
15:38:06:726,0.9836,0.0454,0.1411,0.995
15:38:06:731,0.9836,0.0469,0.1227,0.992
15:38:06:735,0.9888,0.0400,0.1073,0.995
15:38:06:741,0.9900,0.0444,0.0856,0.995
15:38:06:747,0.9868,0.0403,0.0765,0.991
15:38:06:750,0.9929,0.0263,0.0944,0.998
15:38:06:755,0.9927,0.0246,0.1022,0.998
15:38:06:760,0.9849,0.0373,0.0900,0.990
15:38:06:766,0.9797,0.0422,0.0736,0.983
15:38:06:770,0.9885,0.0258,0.0805,0.992
15:38:06:775,0.9944,0.0202,0.0966,0.999
15:38:06:781,0.9895,0.0241,0.1125,0.996
15:38:06:786,0.9773,0.0234,0.1264,0.986
15:38:06:791,0.9763,0.0158,0.1330,0.985
15:38:06:800,0.9775,0.0148,0.1328,0.987
15:38:06:801,0.9680,0.0234,0.1288,0.977
15:38:06:806,0.9487,0.0327,0.1200,0.957
15:38:06:817,0.9387,0.0346,0.1076,0.945
15:38:06:818,0.9392,0.0266,0.0861,0.943
15:38:06:821,0.9506,0.0214,0.0704,0.953
15:38:06:827,0.9641,0.0244,0.0663,0.967
15:38:06:831,0.9709,0.0320,0.0668,0.974
15:38:06:836,0.9768,0.0344,0.0626,0.979
15:38:06:840,0.9805,0.0349,0.0558,0.983
15:38:06:847,0.9746,0.0388,0.0536,0.977
15:38:06:851,0.9709,0.0400,0.0567,0.973
15:38:06:856,0.9722,0.0376,0.0582,0.975
15:38:06:862,0.9722,0.0354,0.0531,0.974
15:38:06:866,0.9719,0.0383,0.0484,0.974
15:38:06:871,0.9773,0.0493,0.0453,0.980
15:38:06:877,0.9690,0.1261,0.0059,0.977
15:38:06:881,0.9506,0.1114,-0.0496,0.958
15:38:06:887,0.9805,-0.0052,-0.0278,0.981
