time,gFx,gFy,gFz,TgF
15:41:55:401,0.9514,0.0197,0.1352,0.961
15:41:55:409,0.9602,0.0173,0.1293,0.969
15:41:55:411,0.9646,0.0156,0.1249,0.973
15:41:55:417,0.9624,0.0134,0.1215,0.970
15:41:55:421,0.9565,0.0161,0.1156,0.964
15:41:55:426,0.9541,0.0205,0.1183,0.962
15:41:55:431,0.9587,0.0229,0.1306,0.968
15:41:55:436,0.9646,0.0256,0.1530,0.977
15:41:55:441,0.9707,0.0288,0.1794,0.988
15:41:55:447,0.9856,0.0302,0.2017,1.006
15:41:55:451,1.0105,0.0239,0.2073,1.032
15:41:55:456,1.0404,0.0107,0.2012,1.060
15:41:55:461,1.0672,-0.0035,0.1922,1.084
15:41:55:467,1.0919,-0.0137,0.1758,1.106
15:41:55:471,1.1117,-0.0177,0.1513,1.122
15:41:55:476,1.1222,-0.0191,0.1218,1.129
15:41:55:484,1.1218,-0.0269,0.1032,1.127
15:41:55:490,1.1090,-0.0355,0.0968,1.114
15:41:55:493,1.0824,-0.0287,0.0863,1.086
15:41:55:497,1.0509,-0.0130,0.0787,1.054
15:41:55:501,1.0237,0.0038,0.0761,1.027
15:41:55:507,1.0020,0.0151,0.0692,1.004
15:41:55:511,0.9834,0.0224,0.0472,0.985
15:41:55:516,0.9702,0.0271,0.0208,0.971
15:41:55:521,0.9619,0.0285,0.0027,0.962
15:41:55:527,0.9570,0.0302,0.0049,0.957
15:41:55:531,0.9506,0.0266,0.0211,0.951
15:41:55:536,0.9499,0.0183,0.0401,0.951
15:41:55:541,0.9504,0.0104,0.0489,0.952
15:41:55:547,0.9487,0.0117,0.0553,0.950
15:41:55:552,0.9445,0.0205,0.0655,0.947
15:41:55:556,0.9392,0.0312,0.0790,0.943
15:41:55:561,0.9296,0.0432,0.0936,0.935
15:41:55:567,0.9203,0.0535,0.1054,0.928
15:41:55:571,0.9218,0.0593,0.1183,0.931
15:41:55:577,0.9343,0.0608,0.1271,0.945
15:41:55:584,0.9531,0.0591,0.1403,0.965
15:41:55:590,0.9719,0.0606,0.1545,0.986
15:41:55:591,0.9802,0.0593,0.1501,0.993
15:41:55:599,0.9805,0.0454,0.1433,0.992
15:41:55:602,0.9763,0.0344,0.1406,0.987
15:41:55:607,0.9724,0.0368,0.1357,0.983
15:41:55:611,0.9702,0.0478,0.1306,0.980
15:41:55:617,0.9704,0.0557,0.1323,0.981
15:41:55:622,0.9734,0.0569,0.1423,0.985
15:41:55:627,0.9807,0.0579,0.1464,0.993
15:41:55:632,0.9883,0.0601,0.1384,1.000
15:41:55:637,0.9964,0.0579,0.1301,1.006
15:41:55:642,1.0032,0.0525,0.1313,1.013
15:41:55:654,1.0052,0.0476,0.1328,1.015
15:41:55:655,1.0039,0.0454,0.1323,1.014
15:41:55:657,1.0030,0.0425,0.1288,1.012
15:41:55:662,1.0022,0.0383,0.1210,1.010
15:41:55:668,0.9971,0.0354,0.1098,1.004
15:41:55:673,0.9912,0.0315,0.1000,0.997
15:41:55:677,0.9868,0.0307,0.0927,0.992
15:41:55:682,0.9829,0.0346,0.0888,0.988
15:41:55:688,0.9810,0.0398,0.0917,0.986
15:41:55:692,0.9790,0.0412,0.1000,0.985
15:41:55:697,0.9763,0.0415,0.1122,0.984
15:41:55:702,0.9726,0.0420,0.1240,0.981
15:41:55:708,0.9687,0.0422,0.1257,0.978
15:41:55:713,0.9726,0.0378,0.1215,0.981
15:41:55:717,0.9778,0.0320,0.1240,0.986
15:41:55:724,0.9824,0.0293,0.1310,0.992
15:41:55:727,0.9836,0.0298,0.1372,0.994
15:41:55:735,0.9839,0.0302,0.1420,0.995
15:41:55:738,0.9861,0.0293,0.1472,0.997
15:41:55:742,0.9802,0.0317,0.1452,0.991
15:41:55:750,0.9739,0.0393,0.1398,0.985
15:41:55:753,0.9741,0.0447,0.1381,0.985
15:41:55:758,0.9788,0.0420,0.1266,0.988
15:41:55:768,0.9814,0.0356,0.1103,0.988
15:41:55:769,0.9839,0.0310,0.1100,0.991
15:41:55:774,0.9873,0.0261,0.1213,0.995
15:41:55:778,0.9851,0.0244,0.1320,0.994
15:41:55:783,0.9817,0.0263,0.1362,0.991
15:41:55:788,0.9766,0.0298,0.1457,0.988
15:41:55:792,0.9675,0.0315,0.1560,0.981
15:41:55:797,0.9585,0.0337,0.1648,0.973
15:41:55:803,0.9536,0.0337,0.1719,0.970
15:41:55:808,0.9550,0.0351,0.1765,0.972
15:41:55:813,0.9590,0.0378,0.1760,0.976
15:41:55:818,0.9612,0.0403,0.1724,0.977
15:41:55:823,0.9656,0.0415,0.1677,0.981
15:41:55:828,0.9744,0.0366,0.1616,0.988
15:41:55:833,0.9878,0.0298,0.1560,1.000
15:41:55:842,0.9976,0.0258,0.1474,1.009
15:41:55:843,0.9976,0.0258,0.1374,1.007
15:41:55:848,0.9917,0.0283,0.1274,1.000
15:41:55:853,0.9858,0.0278,0.1244,0.994
15:41:55:862,0.9817,0.0246,0.1323,0.991
15:41:55:863,0.9846,0.0156,0.1545,0.997
15:41:55:869,0.9900,0.0134,0.1797,1.006
15:41:55:873,0.9927,0.0192,0.1919,1.011
15:41:55:883,0.9932,0.0239,0.1956,1.013
15:41:55:889,0.9920,0.0288,0.2014,1.013
15:41:55:889,0.9902,0.0320,0.2095,1.013
15:41:55:892,0.9902,0.0342,0.2205,1.015
15:41:55:898,0.9898,0.0342,0.2293,1.017
15:41:55:903,0.9876,0.0334,0.2344,1.016
15:41:55:908,0.9858,0.0327,0.2320,1.013
15:41:55:913,0.9885,0.0293,0.2252,1.014
15:41:55:918,0.9836,0.0312,0.2137,1.007
15:41:55:923,0.9734,0.0339,0.2027,0.995
15:41:55:929,0.9673,0.0332,0.2002,0.988
15:41:55:935,0.9653,0.0317,0.2027,0.987
15:41:55:938,0.9668,0.0283,0.2049,0.989
15:41:55:943,0.9663,0.0254,0.2029,0.988
15:41:55:948,0.9621,0.0266,0.2002,0.983
15:41:55:953,0.9585,0.0298,0.1988,0.979
15:41:55:959,0.9570,0.0332,0.2014,0.979
15:41:55:963,0.9580,0.0361,0.2068,0.981
15:41:55:969,0.9572,0.0417,0.2129,0.982
15:41:55:973,0.9543,0.0469,0.2200,0.980
15:41:55:978,0.9497,0.0513,0.2247,0.977
15:41:55:986,0.9443,0.0564,0.2242,0.972
15:41:55:989,0.9382,0.0640,0.2259,0.967
15:41:55:993,0.9321,0.0701,0.2296,0.962
15:41:55:998,0.9318,0.0716,0.2310,0.963
15:41:56:003,0.9350,0.0713,0.2320,0.966
15:41:56:008,0.9416,0.0701,0.2337,0.973
15:41:56:014,0.9482,0.0672,0.2315,0.978
15:41:56:019,0.9533,0.0632,0.2220,0.981
15:41:56:023,0.9546,0.0581,0.2102,0.979
15:41:56:029,0.9541,0.0525,0.2036,0.977
15:41:56:034,0.9538,0.0496,0.1992,0.976
15:41:56:039,0.9543,0.0488,0.1946,0.975
15:41:56:043,0.9548,0.0486,0.1902,0.975
15:41:56:049,0.9563,0.0478,0.1868,0.976
15:41:56:054,0.9570,0.0471,0.1856,0.976
15:41:56:058,0.9575,0.0464,0.1838,0.976
15:41:56:064,0.9597,0.0452,0.1834,0.978
15:41:56:069,0.9619,0.0437,0.1831,0.980
15:41:56:074,0.9663,0.0422,0.1848,0.985
15:41:56:083,0.9714,0.0412,0.1885,0.990
15:41:56:086,0.9753,0.0398,0.1912,0.995
15:41:56:090,0.9790,0.0364,0.1931,0.999
15:41:56:094,0.9817,0.0337,0.1939,1.001
15:41:56:099,0.9829,0.0337,0.1929,1.002
15:41:56:104,0.9817,0.0342,0.1902,1.001
15:41:56:109,0.9785,0.0356,0.1885,0.997
15:41:56:114,0.9756,0.0368,0.1878,0.994
15:41:56:120,0.9734,0.0366,0.1897,0.992
15:41:56:124,0.9712,0.0371,0.1939,0.991
15:41:56:129,0.9685,0.0383,0.1995,0.990
15:41:56:134,0.9658,0.0378,0.2051,0.988
15:41:56:139,0.9646,0.0364,0.2061,0.987
15:41:56:144,0.9658,0.0351,0.2022,0.987
15:41:56:149,0.9670,0.0337,0.1966,0.987
15:41:56:154,0.9685,0.0322,0.1922,0.988
15:41:56:159,0.9714,0.0278,0.1914,0.990
15:41:56:164,0.9773,0.0214,0.1946,0.997
15:41:56:172,0.9817,0.0175,0.1946,1.001
15:41:56:175,0.9819,0.0168,0.1914,1.001
15:41:56:179,0.9802,0.0188,0.1858,0.998
15:41:56:187,0.9775,0.0197,0.1819,0.995
15:41:56:190,0.9726,0.0190,0.1809,0.990
15:41:56:195,0.9682,0.0180,0.1834,0.986
15:41:56:200,0.9680,0.0178,0.1890,0.986
15:41:56:204,0.9685,0.0205,0.1931,0.988
15:41:56:209,0.9673,0.0224,0.1909,0.986
15:41:56:214,0.9656,0.0227,0.1873,0.984
15:41:56:219,0.9668,0.0210,0.1880,0.985
15:41:56:224,0.9670,0.0222,0.1914,0.986
15:41:56:230,0.9660,0.0244,0.1936,0.986
15:41:56:235,0.9634,0.0261,0.1924,0.983
15:41:56:239,0.9609,0.0268,0.1909,0.980
15:41:56:244,0.9594,0.0268,0.1897,0.978
15:41:56:250,0.9602,0.0246,0.1887,0.979
15:41:56:254,0.9651,0.0200,0.1885,0.984
15:41:56:260,0.9685,0.0166,0.1873,0.987
15:41:56:264,0.9695,0.0161,0.1841,0.987
15:41:56:271,0.9697,0.0166,0.1804,0.986
15:41:56:276,0.9692,0.0173,0.1741,0.985
15:41:56:285,0.9678,0.0180,0.1689,0.983
15:41:56:286,0.9663,0.0166,0.1682,0.981
15:41:56:294,0.9668,0.0151,0.1702,0.982
15:41:56:294,0.9697,0.0151,0.1777,0.986
15:41:56:300,0.9722,0.0141,0.1838,0.989
15:41:56:305,0.9736,0.0144,0.1860,0.991
15:41:56:310,0.9739,0.0156,0.1878,0.992
15:41:56:316,0.9751,0.0190,0.1887,0.993
15:41:56:320,0.9746,0.0207,0.1909,0.993
15:41:56:324,0.9714,0.0219,0.1953,0.991
15:41:56:330,0.9621,0.0232,0.1922,0.981
15:41:56:335,0.9665,0.0192,0.1922,0.986
15:41:56:340,0.9714,0.0185,0.1956,0.991
15:41:56:344,0.9685,0.0227,0.1944,0.988
15:41:56:350,0.9656,0.0268,0.1922,0.985
15:41:56:356,0.9634,0.0278,0.1939,0.983
15:41:56:360,0.9624,0.0268,0.1992,0.983
15:41:56:365,0.9604,0.0263,0.2027,0.982
15:41:56:372,0.9585,0.0246,0.2005,0.980
15:41:56:376,0.9565,0.0232,0.1961,0.977
15:41:56:386,0.9565,0.0217,0.1907,0.976
15:41:56:387,0.9590,0.0202,0.1851,0.977
