time,gFx,gFy,gFz,TgF
17:22:02:545,1.1956,-0.0235,0.4537,1.279
17:22:02:550,1.2002,-0.0414,0.4148,1.271
17:22:02:555,1.1943,-0.0355,0.3603,1.248
17:22:02:560,1.1733,-0.0201,0.2990,1.211
17:22:02:566,1.1347,-0.0001,0.2430,1.160
17:22:02:571,1.0807,0.0197,0.1963,1.099
17:22:02:575,1.0245,0.0305,0.1609,1.037
17:22:02:580,0.9814,0.0300,0.1367,0.991
17:22:02:586,0.9646,0.0569,0.1286,0.975
17:22:02:591,0.9428,0.0896,0.1335,0.956
17:22:02:595,0.9093,0.1077,0.1516,0.928
17:22:02:601,0.8785,0.1180,0.1875,0.906
17:22:02:605,0.8531,0.1229,0.2313,0.892
17:22:02:610,0.8336,0.1263,0.2709,0.886
17:22:02:616,0.8201,0.1275,0.2992,0.882
17:22:02:622,0.8086,0.1248,0.3102,0.875
17:22:02:625,0.7988,0.1204,0.3009,0.862
17:22:02:630,0.7898,0.1251,0.2819,0.848
17:22:02:636,0.7793,0.1268,0.2679,0.834
17:22:02:642,0.7656,0.1327,0.2638,0.821
17:22:02:645,0.7470,0.1437,0.2584,0.803
17:22:02:652,0.7307,0.1446,0.2562,0.788
17:22:02:659,0.7272,0.1422,0.2604,0.785
17:22:02:663,0.7263,0.1415,0.2596,0.784
17:22:02:667,0.7434,0.1466,0.2689,0.804
17:22:02:672,0.7705,0.1588,0.2875,0.838
17:22:02:675,0.7825,0.1525,0.2946,0.850
17:22:02:683,0.7822,0.1327,0.2938,0.846
17:22:02:685,0.7844,0.1190,0.2948,0.846
17:22:02:690,0.7930,0.1175,0.2990,0.856
17:22:02:695,0.8045,0.1187,0.3019,0.867
17:22:02:702,0.8133,0.1129,0.2978,0.873
17:22:02:706,0.8162,0.1038,0.2899,0.872
17:22:02:710,0.8138,0.0960,0.2890,0.869
17:22:02:716,0.8094,0.0916,0.2926,0.865
17:22:02:721,0.8054,0.0879,0.2965,0.863
17:22:02:726,0.8028,0.0879,0.3017,0.862
17:22:02:731,0.8018,0.0911,0.3051,0.863
17:22:02:736,0.8045,0.0958,0.3046,0.866
17:22:02:741,0.8047,0.1009,0.3036,0.866
17:22:02:746,0.7988,0.1038,0.3009,0.860
17:22:02:751,0.7935,0.1028,0.2904,0.851
17:22:02:756,0.7910,0.0994,0.2731,0.843
17:22:02:761,0.7898,0.0975,0.2516,0.835
17:22:02:766,0.7854,0.0982,0.2269,0.823
17:22:02:771,0.7820,0.0997,0.1985,0.813
17:22:02:776,0.7764,0.1036,0.1736,0.802
17:22:02:783,0.7663,0.1121,0.1552,0.790
17:22:02:787,0.7578,0.1244,0.1433,0.781
17:22:02:791,0.7500,0.1388,0.1345,0.774
17:22:02:796,0.7380,0.1556,0.1310,0.766
17:22:02:801,0.7201,0.1737,0.1350,0.753
17:22:02:806,0.7030,0.1935,0.1504,0.745
17:22:02:811,0.6940,0.2045,0.1770,0.745
17:22:02:817,0.6840,0.2094,0.2032,0.744
17:22:02:835,0.6735,0.2146,0.2210,0.741
17:22:02:836,0.6654,0.2212,0.2278,0.737
17:22:02:837,0.6551,0.2388,0.2293,0.734
17:22:02:839,0.6644,0.2488,0.2237,0.744
