time,gFx,gFy,gFz,TgF
17:32:30:057,1.3217,0.0750,0.2921,1.356
17:32:30:061,1.3329,0.1016,0.2907,1.368
17:32:30:068,1.3378,0.1263,0.2892,1.375
17:32:30:071,1.3259,0.1576,0.2890,1.366
17:32:30:077,1.3034,0.1808,0.2711,1.343
17:32:30:081,1.2877,0.1820,0.2523,1.325
17:32:30:086,1.2662,0.1776,0.2203,1.297
17:32:30:090,1.2405,0.1945,0.1628,1.266
17:32:30:097,1.2017,0.2158,0.0844,1.224
17:32:30:101,1.1445,0.2109,0.0066,1.164
17:32:30:105,1.1137,0.1747,-0.0599,1.129
17:32:30:110,1.1015,0.1554,-0.1168,1.118
17:32:30:117,1.0927,0.1498,-0.1755,1.117
17:32:30:121,1.1120,0.1415,-0.2239,1.143
17:32:30:127,1.1430,0.1312,-0.2542,1.178
17:32:30:130,1.1191,0.1307,-0.2720,1.159
17:32:30:139,1.1171,0.1305,-0.2640,1.155
17:32:30:141,1.1232,0.1295,-0.2535,1.159
17:32:30:147,1.1218,0.1317,-0.2520,1.157
17:32:30:151,1.1279,0.1383,-0.2456,1.163
17:32:30:157,1.1218,0.1517,-0.2322,1.156
17:32:30:160,1.0993,0.1706,-0.2183,1.134
17:32:30:167,1.0650,0.1867,-0.2121,1.102
17:32:30:171,1.0399,0.2045,-0.2190,1.082
17:32:30:177,1.0228,0.2170,-0.2209,1.069
17:32:30:184,1.0147,0.2275,-0.2107,1.061
17:32:30:189,1.0005,0.2434,-0.1784,1.045
17:32:30:191,0.9775,0.2571,-0.1263,1.019
17:32:30:203,0.9521,0.2686,-0.0657,0.991
17:32:30:204,0.9326,0.2796,-0.0115,0.974
17:32:30:206,0.9201,0.2818,0.0303,0.963
17:32:30:212,0.9081,0.2715,0.0670,0.950
17:32:30:217,0.9025,0.2500,0.0954,0.941
17:32:30:221,0.8961,0.2187,0.1073,0.929
17:32:30:226,0.8908,0.1877,0.1020,0.916
17:32:30:231,0.8964,0.1635,0.0780,0.914
17:32:30:238,0.9096,0.1566,0.0428,0.924
17:32:30:241,0.9103,0.1596,0.0015,0.924
17:32:30:247,0.8956,0.1576,-0.0347,0.910
17:32:30:251,0.8749,0.1459,-0.0672,0.889
17:32:30:257,0.8607,0.1314,-0.0960,0.876
17:32:30:266,0.8543,0.1231,-0.1161,0.871
17:32:30:267,0.8499,0.1185,-0.1256,0.867
17:32:30:272,0.8348,0.1112,-0.1215,0.851
17:32:30:278,0.8130,0.1019,-0.1048,0.826
17:32:30:284,0.8025,0.0916,-0.0806,0.812
17:32:30:286,0.8040,0.0848,-0.0567,0.810
17:32:30:291,0.8118,0.0848,-0.0327,0.817
